"Prodotto","Sorgente","Destinazione","Errore"
"Insalata Scarola 1 Pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\insalata-scarola-1-pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-scarola-1-pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagiolini Teneri 0,5 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagiolini-teneri-0-5-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ananas Baby 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\ananas-baby-1-frutto-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ananas-baby-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Timo Vulgaris 1 Vaso","C:\Users\info\Desktop\frutta\immagini\ortitaly\timo-vulgaris-1-vaso-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\timo-vulgaris-1-vaso.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagiolini Fini","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagiolini-fini.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Dolci Pasta Viola 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-dolci-pasta-viola-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-dolci-pasta-viola-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Porro 2pezzi","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\porro-2pezzi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ananas Gold 1pz","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ananas-gold-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radice Di Rafano 5 Kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\radice-di-rafano-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radice-di-rafano-5-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kiwi 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kiwi-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Guanabana 1 Cassa 1 Frutto ( Su Ordinazione )","C:\Users\info\Desktop\frutta\immagini\fruttit\guanabana-1-cassa-1-frutto-su-ordinazione-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\guanabana-1-cassa-1-frutto-su-ordinazione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Succo E Nettare Di Mango 1lt","C:\Users\info\Desktop\frutta\immagini\ortitaly\succo-e-nettare-di-mango-1lt-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\succo-e-nettare-di-mango-1lt.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mandorla Guscio","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mandorla-guscio.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Durian 1 Cassa 2/3 Frutti ( Su Ordinazione )","C:\Users\info\Desktop\frutta\immagini\fruttit\durian-1-cassa-2-3-frutti-su-ordinazione-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\durian-1-cassa-2-3-frutti-su-ordinazione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Aglio In Spicchi 1 Cofanetto","C:\Users\info\Desktop\frutta\immagini\fruttit\aglio-in-spicchi-1-cofanetto-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\aglio-in-spicchi-1-cofanetto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Topinambur","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\topinambur.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cipolle Gialle 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cipolle-gialle-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Prezzemolo 1 Mazzo","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\prezzemolo-1-mazzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Asparagi 1 Mazzo 500gr","C:\Users\info\Desktop\frutta\immagini\fruttit\asparagi-1-mazzo-500gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\asparagi-1-mazzo-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Dragoncello Fresco 1pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\dragoncello-fresco-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\dragoncello-fresco-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Castagne Italia 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\castagne-italia-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Verza Riccia 1 Pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\verza-riccia-1-pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\verza-riccia-1-pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radicchio Rosa Di Verona 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\radicchio-rosa-di-verona-1kg-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radicchio-rosa-di-verona-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Stark Delicious 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-stark-delicious-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Sakura Mix","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\sakura-mix.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Chips Di Patata Dolce 1 Bustina","C:\Users\info\Desktop\frutta\immagini\fruttit\chips-di-patata-dolce-1-bustina-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\chips-di-patata-dolce-1-bustina.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pistacchi In Guscio 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\pistacchi-in-guscio-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pistacchi-in-guscio-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lime 10kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lime-10kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Sedano Rapa 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\sedano-rapa-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lenticchia Decorticata 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\lenticchia-decorticata-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lenticchia-decorticata-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Williams Bianche 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pere-williams-bianche-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-williams-bianche-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Piselli Freschi 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\piselli-freschi-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Agnolotti Di Carne 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\agnolotti-di-carne-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\agnolotti-di-carne-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Melone Gialletto Invernale 1pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\melone-gialletto-invernale-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\melone-gialletto-invernale-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tamarindo 4,5kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tamarindo-4-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lemongrass 1 Cassa 3kg ( Su Ordinazione )","C:\Users\info\Desktop\frutta\immagini\fruttit\lemongrass-1-cassa-3kg-su-ordinazione-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lemongrass-1-cassa-3kg-su-ordinazione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lattuga 1pz","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lattuga-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Arance Bionde","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arance-bionde.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Menta Fresca 100 Gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\menta-fresca-100-gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\menta-fresca-100-gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofino Alla Brace 950gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\carciofino-alla-brace-950gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofino-alla-brace-950gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Papaya Disitratata 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\papaya-disitratata-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\papaya-disitratata-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mela Envy","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mela-envy.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Guanciale Al Peperoncino Trancio 300gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\guanciale-al-peperoncino-trancio-300gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\guanciale-al-peperoncino-trancio-300gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Strozzapreti Acqua E Farina 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\strozzapreti-acqua-e-farina-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\strozzapreti-acqua-e-farina-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagioli Neri 500gr","C:\Users\info\Desktop\frutta\immagini\fruttit\fagioli-neri-500gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagioli-neri-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Box Del Mese","C:\Users\info\Desktop\frutta\immagini\fruttit\box-del-mese-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\box-del-mese.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mix Frutti Bosco","C:\Users\info\Desktop\frutta\immagini\ortitaly\mix-frutti-bosco-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mix-frutti-bosco.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Keffir Lime Leaves 25pz ( Prodotto Su Ordinazione )","C:\Users\info\Desktop\frutta\immagini\fruttit\keffir-lime-leaves-25pz-prodotto-su-ordinazione-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\keffir-lime-leaves-25pz-prodotto-su-ordinazione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Orecchiette Acqua E Farina 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\orecchiette-acqua-e-farina-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\orecchiette-acqua-e-farina-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mango Disidratato","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mango-disidratato.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Melograno 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\melograno-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cipolla Rossa Di Tropea 1 Treccia","C:\Users\info\Desktop\frutta\immagini\fruttit\cipolla-rossa-di-tropea-1-treccia-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cipolla-rossa-di-tropea-1-treccia.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ramboutan 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ramboutan-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Nocciole Sgusciate 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\nocciole-sgusciate-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pesca Rossa 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pesca-rossa-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Zucca Cubetti 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\zucca-cubetti-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\zucca-cubetti-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cassava Yuca Manioca 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\cassava-yuca-manioca-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cassava-yuca-manioca-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Viola","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-viola.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Susine ( Prugne ) Nere 0,5kg","C:\Users\info\Desktop\frutta\immagini\fruttit\susine-prugne-nere-0-5kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\susine-prugne-nere-0-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Dolci A Pasta Bianca 10kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-dolci-a-pasta-bianca-10kg-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-dolci-a-pasta-bianca-10kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cicorietta A Mazzi","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cicorietta-a-mazzi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Scarola 1pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\scarola-1pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Papaya ( 1 Cassa )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\papaya-1-cassa.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Basilico Vaso 1pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\basilico-vaso-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\basilico-vaso-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Peperoncino Paprika Rosso","C:\Users\info\Desktop\frutta\immagini\ortitaly\peperoncino-paprika-rosso-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\peperoncino-paprika-rosso.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radice Di Rafano 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\radice-di-rafano-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radice-di-rafano-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Insalata Gentilina 2 Pezzi","C:\Users\info\Desktop\frutta\immagini\ortitaly\insalata-gentilina-2-pezzi-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-gentilina-2-pezzi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Semi Di Zucca 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\semi-di-zucca-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\semi-di-zucca-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pacco Di Frutta Esotica Natalizio Piccolo ( Consegna Dal 22 Dicembre )","C:\Users\info\Desktop\frutta\immagini\fruttit\pacco-di-frutta-esotica-natalizio-piccolo-consegna-dal-22-dicembre-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pacco-di-frutta-esotica-natalizio-piccolo-consegna-dal-22-dicembre.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radicchio Lungo 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radicchio-lungo-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Passion Fruit 3 Pezzi","C:\Users\info\Desktop\frutta\immagini\fruttit\passion-fruit-3-pezzi-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\passion-fruit-3-pezzi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pomodori Verdi 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pomodori-verdi-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Melanzane Grigliate Sott'olio 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\melanzane-grigliate-sott-olio-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\melanzane-grigliate-sott-olio-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mapo 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mapo-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Noci 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\noci-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Friarielli Sott'olio 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\friarielli-sott-olio-1-kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\friarielli-sott-olio-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kako Mela ( Persimon ) Xl 1pz","C:\Users\info\Desktop\frutta\immagini\fruttit\kako-mela-persimon-xl-1pz-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kako-mela-persimon-xl-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofini 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofini-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carambola ( 1 Cassa )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carambola-1-cassa.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cocco Disidratato 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\cocco-disidratato-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cocco-disidratato-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pomodoro Ciliegino","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pomodoro-ciliegino.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Canasta 1pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\canasta-1pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pera Nashi 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\pera-nashi-1-frutto-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pera-nashi-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Jackfruit ( Prodotto Su Ordinazione )","C:\Users\info\Desktop\frutta\immagini\fruttit\jackfruit-prodotto-su-ordinazione-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\jackfruit-prodotto-su-ordinazione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Prezzemolo Fresco 1mz","C:\Users\info\Desktop\frutta\immagini\ortitaly\prezzemolo-fresco-1mz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\prezzemolo-fresco-1mz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tamarindo","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tamarindo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kumquat 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kumquat-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Zucchine A Fette Da Grigliare","C:\Users\info\Desktop\frutta\immagini\ortitaly\zucchine-a-fette-da-grigliare-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\zucchine-a-fette-da-grigliare.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Filetti Di Arancio Ricoperti Di Cioccolato","C:\Users\info\Desktop\frutta\immagini\fruttit\filetti-di-arancio-ricoperti-di-cioccolato-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\filetti-di-arancio-ricoperti-di-cioccolato.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pepino 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pepino-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Insalata Iceberg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-iceberg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ananas Pulita A Fette 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\ananas-pulita-a-fette-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ananas-pulita-a-fette-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lime 0.5kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lime-0-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Litchi ( 1 Confezione ) 250gr","C:\Users\info\Desktop\frutta\immagini\fruttit\litchi-1-confezione-250gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\litchi-1-confezione-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ananas Gold Via Aerea 1pz.","C:\Users\info\Desktop\frutta\immagini\ortitaly\ananas-gold-via-aerea-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ananas-gold-via-aerea-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Dolci Pasta Arancio 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-dolci-pasta-arancio-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-dolci-pasta-arancio-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavolini Di Bruxelles 1 Confezione 350gr","C:\Users\info\Desktop\frutta\immagini\fruttit\cavolini-di-bruxelles-1-confezione-350gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavolini-di-bruxelles-1-confezione-350gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
